Diameter (um)
114.8170543
144.5937984
10.45155039
108.5321705
87.99031008
45.15077519
16.22790698
6.738372093
7.179457364
7.253488372
6.89496124
8.523255814
11.93100775
39.10271318
6.93372093
112.3457364
48.67751938
52.5251938
30.25775194
21.28914729
6.797286822
9.025581395
5.846899225
7.253488372
41.68139535
45.1244186
23.25581395
6.718217054
5.270155039
